time,epoch,accuracy,top5_accuracy,top10_accuracy,top20_accuracy,macro_recall,micro_recall,micro_precision,micro_f1,cohen_kappa,cross_entropy
2022-08-04-13:01:23.378455,6,0.6463384628295898,0.8834079504013062,0.9403924942016602,0.9697617888450623,0.31097882986068726,0.6463384628295898,0.6463384628295898,0.6463384628295898,0.5707052946090698,1.3987098932266235,
2022-08-04-13:22:40.634273,7,0.6419777274131775,0.8782275319099426,0.9370153546333313,0.966802716255188,0.30303406715393066,0.6419777274131775,0.6419777274131775,0.6419777274131775,0.5653005838394165,1.4457331895828247,
2022-08-04-13:44:01.316566,8,0.6420843005180359,0.8776373267173767,0.9351464509963989,0.9639092683792114,0.3029053509235382,0.6420843005180359,0.6420843005180359,0.6420843005180359,0.5673282146453857,1.479278802871704,
2022-08-04-14:05:24.635008,9,0.6353792548179626,0.871924102306366,0.93038409948349,0.9613354206085205,0.28688740730285645,0.6353792548179626,0.6353792548179626,0.6353792548179626,0.5602712035179138,1.5214893817901611,
2022-08-04-14:26:52.743283,10,0.632034957408905,0.8675962090492249,0.9261709451675415,0.9572944045066833,0.2978494167327881,0.632034957408905,0.632034957408905,0.632034957408905,0.555698573589325,1.5876779556274414,
2022-08-08-11:23:51.677982,0,0.3733333349227905,1,1,1,0.3733333349227905,0.3733333349227905,0.3733333349227905,0.37333330512046814,0.059999942779541016,1.0982775688171387,
2022-08-08-11:23:57.209727,1,0.5066666603088379,1,1,1,0.5066666603088379,0.5066666603088379,0.5066666603088379,0.5066666603088379,0.25999999046325684,1.2272632122039795,
2022-08-08-11:24:05.402806,0,0.3333333432674408,1,1,1,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,7.714494705200195,
2022-08-08-11:24:12.697688,1,0.3333333432674408,1,1,1,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,3.144357919692993,
2022-08-08-11:24:20.221272,0,0.36000001430511475,1,1,1,0.36000001430511475,0.36000001430511475,0.36000001430511475,0.35999998450279236,0.04000002145767212,3.689051866531372,
2022-08-08-11:24:26.916447,1,0.36000001430511475,1,1,1,0.36000001430511475,0.36000001430511475,0.36000001430511475,0.35999998450279236,0.04000002145767212,2.5431017875671387,
2022-08-08-11:24:33.682259,0,0.3866666555404663,1,1,1,0.3866666853427887,0.3866666555404663,0.3866666555404663,0.3866666555404663,0.07999998331069946,8.91524887084961,
2022-08-08-11:24:39.837872,1,0.3866666555404663,1,1,1,0.3866666853427887,0.3866666555404663,0.3866666555404663,0.3866666555404663,0.07999998331069946,2.0408082008361816,
2022-08-08-11:24:47.335156,0,0.3733333349227905,1,1,1,0.3733333349227905,0.3733333349227905,0.3733333349227905,0.37333330512046814,0.06000000238418579,2.162062168121338,
2022-08-08-11:24:53.745321,1,0.3466666638851166,1,1,1,0.3466666638851166,0.3466666638851166,0.3466666638851166,0.3466666638851166,0.019999980926513672,1.4238216876983643,
2022-08-08-11:25:00.968477,0,0.653333306312561,1,1,1,0.653333306312561,0.653333306312561,0.653333306312561,0.653333306312561,0.48000001907348633,0.7961446642875671,
2022-08-08-11:25:06.427970,1,0.54666668176651,1,1,1,0.54666668176651,0.54666668176651,0.54666668176651,0.54666668176651,0.31999993324279785,0.9764578342437744,
2022-08-08-11:25:14.545404,0,0.36000001430511475,1,1,1,0.36000001430511475,0.36000001430511475,0.36000001430511475,0.35999998450279236,0.04000002145767212,7.293253421783447,
2022-08-08-11:25:22.188328,1,0.36000001430511475,1,1,1,0.36000001430511475,0.36000001430511475,0.36000001430511475,0.35999998450279236,0.04000002145767212,4.154420852661133,
2022-08-08-11:25:31.425352,0,0.36000001430511475,1,1,1,0.36000001430511475,0.36000001430511475,0.36000001430511475,0.35999998450279236,0.04000002145767212,2.2904882431030273,
2022-08-08-11:25:39.864135,1,0.3866666555404663,1,1,1,0.3866666555404663,0.3866666555404663,0.3866666555404663,0.3866666555404663,0.08000004291534424,3.616909980773926,
2022-08-08-11:25:48.848579,0,0.36000001430511475,1,1,1,0.36000001430511475,0.36000001430511475,0.36000001430511475,0.35999998450279236,0.04000002145767212,1.713599443435669,
2022-08-08-11:25:56.855581,1,0.3333333432674408,1,1,1,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,2.302400827407837,
2022-08-08-11:26:03.917304,0,0.3866666555404663,1,1,1,0.3866666853427887,0.3866666555404663,0.3866666555404663,0.3866666555404663,0.07999998331069946,1.632263422012329,
2022-08-08-11:26:09.872762,1,0.3733333349227905,1,1,1,0.3733333349227905,0.3733333349227905,0.3733333349227905,0.37333330512046814,0.06000000238418579,2.804374933242798,
2022-08-08-15:59:47.195004,0,0.5579763650894165,0.8350219130516052,0.911801815032959,0.9545156359672546,0.08147960901260376,0.5579763650894165,0.5579763650894165,0.5579763650894165,0.4642988443374634,1.7347105741500854,
2022-08-08-16:27:19.804821,1,0.6010754108428955,0.8621944785118103,0.9283021092414856,0.9649010896682739,0.13822783529758453,0.6010754108428955,0.6010754108428955,0.6010754108428955,0.5148141384124756,1.5450670719146729,
2022-08-08-17:18:39.529110,0,0.5142789483070374,0.8014475703239441,0.8890965580940247,0.9406793713569641,0.06840845197439194,0.5142789483070374,0.5142789483070374,0.5142789483070374,0.4142024517059326,1.9470261335372925,
2022-08-08-18:03:32.716034,1,0.5928130149841309,0.854604184627533,0.9225150942802429,0.9607780575752258,0.11399282515048981,0.5928130149841309,0.5928130149841309,0.5928130149841309,0.5075924396514893,1.59321928024292,
2022-08-08-18:26:21.399836,0,0.5392547249794006,0.8240708708763123,0.9035311937332153,0.9496385455131531,0.0513748861849308,0.5392547249794006,0.5392547249794006,0.5392547249794006,0.44471222162246704,1.818834900856018,
2022-08-08-18:48:11.058038,1,0.588189959526062,0.8515795469284058,0.9218675494194031,0.9600403308868408,0.0824819877743721,0.588189959526062,0.588189959526062,0.588189959526062,0.499265193939209,1.6141347885131836,
2022-08-08-19:13:30.982957,0,0.55918949842453,0.8284316062927246,0.904170572757721,0.948015570640564,0.045760367065668106,0.55918949842453,0.55918949842453,0.55918949842453,0.45889437198638916,1.7822059392929077,
2022-08-08-19:36:37.889190,1,0.5805996656417847,0.8406859040260315,0.9157363176345825,0.9573271870613098,0.09160427004098892,0.5805996656417847,0.5805996656417847,0.5805996656417847,0.4890873432159424,1.6671857833862305,
2022-08-08-19:58:43.921217,0,0.5250659584999084,0.8077919483184814,0.8934818506240845,0.9411301612854004,0.038755644112825394,0.5250659584999084,0.5250659584999084,0.5250659584999084,0.42725813388824463,1.9141825437545776,
2022-08-08-20:19:59.943131,1,0.5614928007125854,0.8340054750442505,0.9094493389129639,0.9523680806159973,0.06294022500514984,0.5614928007125854,0.5614928007125854,0.5614928007125854,0.46300727128982544,1.7407135963439941,
2022-08-08-20:43:10.621301,0,0.5657879710197449,0.8407678604125977,0.9146379232406616,0.9563435316085815,0.07662967592477798,0.5657879710197449,0.5657879710197449,0.5657879710197449,0.4702865481376648,1.7271353006362915,
2022-08-08-21:05:33.686279,1,0.601567268371582,0.8631042838096619,0.9297857284545898,0.9654830694198608,0.13348060846328735,0.601567268371582,0.601567268371582,0.601567268371582,0.5144591331481934,1.5474811792373657,
2022-08-08-21:37:16.062054,0,0.41470351815223694,0.7268316149711609,0.8422186970710754,0.8995966911315918,0.014969121664762497,0.41470351815223694,0.41470351815223694,0.41470351815223694,0.30494600534439087,2.453803300857544,
2022-08-08-22:08:08.844778,1,0.4812701940536499,0.7276758551597595,0.8497188687324524,0.8983835577964783,0.016273055225610733,0.4812701940536499,0.4812701940536499,0.4812701940536499,0.330769419670105,2.346832036972046,
2022-08-08-22:28:49.566484,0,0.5059837102890015,0.7640452980995178,0.8655961751937866,0.9137281179428101,0.02163124643266201,0.5059837102890015,0.5059837102890015,0.5059837102890015,0.3809772729873657,2.131906270980835,
2022-08-08-22:48:43.790100,1,0.508442759513855,0.7864882946014404,0.8717274069786072,0.9224823117256165,0.034625884145498276,0.508442759513855,0.508442759513855,0.508442759513855,0.401294469833374,2.0651755332946777,
2022-08-08-23:12:02.118673,0,0.5669109225273132,0.8410957455635071,0.9146051406860352,0.9562451839447021,0.0822685956954956,0.5669109225273132,0.5669109225273132,0.5669109225273132,0.47552698850631714,1.701063632965088,
2022-08-08-23:34:36.397752,1,0.6115264296531677,0.8659650087356567,0.9317857623100281,0.966302752494812,0.14038309454917908,0.6115264296531677,0.6115264296531677,0.6115264296531677,0.5244656205177307,1.5079399347305298,
2022-08-09-00:00:07.482814,0,0.5080820918083191,0.7831685543060303,0.8756291270256042,0.9242282509803772,0.02462368831038475,0.5080820918083191,0.5080820918083191,0.5080820918083191,0.3928842544555664,2.0622003078460693,
2022-08-09-00:24:47.711757,1,0.5113608241081238,0.7850948572158813,0.8736127018928528,0.9248348474502563,0.02783472090959549,0.5113608241081238,0.5113608241081238,0.5113608241081238,0.4018540382385254,2.037482976913452,
2022-08-09-10:23:44.962990,0,0.43876129388809204,0.7432252764701843,0.8499319553375244,0.9004819989204407,0.020612191408872604,0.43876129388809204,0.43876129388809204,0.43876129388809204,0.3261532783508301,2.350278854370117,
2022-08-09-10:44:25.311172,1,0.4659912586212158,0.7353972792625427,0.8475466966629028,0.897645890712738,0.01682869717478752,0.4659912586212158,0.4659912586212158,0.4659912586212158,0.3504379987716675,2.371121644973755,
2022-08-09-11:05:05.603265,2,0.4920162558555603,0.7522827982902527,0.8545222282409668,0.9069328904151917,0.01807485707104206,0.4920162558555603,0.4920162558555603,0.4920162558555603,0.363409161567688,2.2485368251800537,
2022-08-09-11:25:51.269818,3,0.5020328164100647,0.7592501640319824,0.8535385727882385,0.912244439125061,0.025406740605831146,0.5020328164100647,0.5020328164100647,0.5020328164100647,0.36358463764190674,2.226045608520508,
2022-08-09-11:46:39.121573,4,0.46767979860305786,0.7393645644187927,0.8539074659347534,0.908793568611145,0.014923425391316414,0.46767979860305786,0.46767979860305786,0.46767979860305786,0.32935792207717896,2.3512649536132812,
2022-08-09-12:07:28.936267,5,0.4479745626449585,0.7081509828567505,0.8305299878120422,0.8894408345222473,0.014864254742860794,0.4479745626449585,0.4479745626449585,0.4479745626449585,0.3129585385322571,2.517061948776245,
2022-08-09-12:28:22.777110,6,0.46713879704475403,0.7296677231788635,0.8447023630142212,0.8938097357749939,0.01319591049104929,0.46713879704475403,0.46713879704475403,0.46713879704475403,0.34216082096099854,2.382742404937744,
2022-08-09-12:51:57.751223,0,0.49883604049682617,0.7554467916488647,0.8593829274177551,0.9105805158615112,0.021746652200818062,0.49883604049682617,0.49883604049682617,0.49883604049682617,0.37173449993133545,2.1990861892700195,
2022-08-09-13:14:39.481635,1,0.4795570373535156,0.7691929340362549,0.8641535043716431,0.9135887622833252,0.030040806159377098,0.4795570373535156,0.4795570373535156,0.4795570373535156,0.3726283311843872,2.1962687969207764,
2022-08-09-13:37:20.252677,2,0.5186724662780762,0.7841931581497192,0.8729159235954285,0.9248348474502563,0.02845783159136772,0.5186724662780762,0.5186724662780762,0.5186724662780762,0.4047319293022156,2.046996593475342,
2022-08-09-14:00:06.133414,3,0.5124182105064392,0.7834718823432922,0.875604510307312,0.925900399684906,0.034042827785015106,0.5124182105064392,0.5124182105064392,0.5124182105064392,0.39455199241638184,2.059969186782837,
2022-08-09-14:22:50.956705,4,0.5105739235877991,0.7855128645896912,0.8805144429206848,0.9278430938720703,0.02789483405649662,0.5105739235877991,0.5105739235877991,0.5105739235877991,0.3975610136985779,2.0502021312713623,
2022-08-09-14:45:37.423179,5,0.5086395144462585,0.7963982820510864,0.8839570879936218,0.9316218495368958,0.043475326150655746,0.5086395144462585,0.5086395144462585,0.5086395144462585,0.39772510528564453,2.0347676277160645,
2022-08-09-15:08:20.637307,6,0.5371727347373962,0.8038574457168579,0.8891375064849854,0.9338841438293457,0.043306298553943634,0.5371727347373962,0.5371727347373962,0.5371727347373962,0.4197070002555847,1.9516984224319458,
2022-08-09-15:34:43.930343,0,0.5131559371948242,0.7840046286582947,0.8762684464454651,0.9258922338485718,0.02710702270269394,0.5131559371948242,0.5131559371948242,0.5131559371948242,0.39823615550994873,2.042407274246216,
2022-08-09-16:00:11.611206,1,0.5220659375190735,0.7969146966934204,0.8813751339912415,0.93287593126297,0.04094785451889038,0.5220659375190735,0.5220659375190735,0.5220659375190735,0.418914794921875,1.9680306911468506,
2022-08-09-16:25:39.642136,2,0.5183363556861877,0.7992016077041626,0.8878424167633057,0.9350235462188721,0.04357389733195305,0.5183363556861877,0.5183363556861877,0.5183363556861877,0.4199800491333008,1.9571837186813354,
2022-08-09-16:55:32.548869,3,0.5153772830963135,0.7893244028091431,0.8797357082366943,0.9323185682296753,0.034803930670022964,0.5153772830963135,0.5153772830963135,0.5153772830963135,0.40096908807754517,2.014414072036743,
2022-08-09-17:28:58.486983,4,0.48088493943214417,0.7755537033081055,0.876120924949646,0.9297201633453369,0.051022060215473175,0.48088493943214417,0.48088493943214417,0.48088493943214417,0.38599157333374023,2.0926218032836914,
2022-08-09-18:02:23.253291,5,0.5194593071937561,0.8056525588035583,0.8939900398254395,0.9408760666847229,0.04200772941112518,0.5194593071937561,0.5194593071937561,0.5194593071937561,0.38986802101135254,1.9301917552947998,
2022-08-09-18:35:52.212976,6,0.5380662083625793,0.8137264251708984,0.8988180160522461,0.943236768245697,0.057420045137405396,0.5380662083625793,0.5380662083625793,0.5380662083625793,0.42690008878707886,1.8601001501083374,
2022-08-09-19:29:06.703544,0,0.4412859082221985,0.7611108422279358,0.8703749179840088,0.9192363619804382,0.026678692549467087,0.4412859082221985,0.4412859082221985,0.4412859082221985,0.34747713804244995,2.1963508129119873,
2022-08-09-20:21:03.696842,1,0.5072296261787415,0.7802996635437012,0.8744651675224304,0.9255971312522888,0.03696061670780182,0.5072296261787415,0.5072296261787415,0.5072296261787415,0.4057958126068115,2.0627589225769043,
2022-08-09-21:02:20.835239,2,0.517549455165863,0.7815619707107544,0.8718421459197998,0.9257528781890869,0.03510281816124916,0.517549455165863,0.517549455165863,0.517549455165863,0.39105910062789917,2.0219666957855225,
2022-08-09-21:42:54.526631,3,0.516303539276123,0.7938162684440613,0.8848915696144104,0.9350399374961853,0.037806157022714615,0.516303539276123,0.516303539276123,0.516303539276123,0.4058266878128052,1.9865530729293823,
2022-08-09-22:23:21.025350,4,0.4679011106491089,0.7590042352676392,0.8718339800834656,0.930171012878418,0.03613940626382828,0.4679011106491089,0.4679011106491089,0.4679011106491089,0.36496204137802124,2.171395778656006,
2022-08-09-23:03:42.807740,5,0.5284267067909241,0.8026115298271179,0.8911457657814026,0.9394498467445374,0.04932578280568123,0.5284267067909241,0.5284267067909241,0.5284267067909241,0.4221805930137634,1.923158884048462,
